Admin2,Province_State,Lat,Long_,Combined_Key,Population,confirmed_3_18,confirmed_3_19,confirmed_3_20,confirmed_3_21,confirmed_3_22,confirmed_3_23,confirmed_3_24,confirmed_3_25,confirmed_3_26,confirmed_3_27,confirmed_3_28,confirmed_3_29,confirmed_3_30,confirmed_3_31,confirmed_4_1,confirmed_4_2,confirmed_4_3,confirmed_4_4,confirmed_4_5,confirmed_4_6,confirmed_4_7,confirmed_4_8,confirmed_4_9,confirmed_4_10,confirmed_4_11,confirmed_4_12,confirmed_4_13,confirmed_4_14,confirmed_4_15,confirmed_4_16,confirmed_4_17,confirmed_4_18,confirmed_4_19,confirmed_4_20,confirmed_4_21,confirmed_4_22,confirmed_4_23,confirmed_4_24,confirmed_4_25,confirmed_4_26,confirmed_4_27,confirmed_4_28,confirmed_4_29,confirmed_4_30,deaths_3_18,deaths_3_19,deaths_3_20,deaths_3_21,deaths_3_22,deaths_3_23,deaths_3_24,deaths_3_25,deaths_3_26,deaths_3_27,deaths_3_28,deaths_3_29,deaths_3_30,deaths_3_31,deaths_4_1,deaths_4_2,deaths_4_3,deaths_4_4,deaths_4_5,deaths_4_6,deaths_4_7,deaths_4_8,deaths_4_9,deaths_4_10,deaths_4_11,deaths_4_12,deaths_4_13,deaths_4_14,deaths_4_15,deaths_4_16,deaths_4_17,deaths_4_18,deaths_4_19,deaths_4_20,deaths_4_21,deaths_4_22,deaths_4_23,deaths_4_24,deaths_4_25,deaths_4_26,deaths_4_27,deaths_4_28,deaths_4_29,deaths_4_30
Autauga,Alabama,32.53952745,-86.64408227,"Autauga, Alabama, US",55869,0,0,0,0,0,0,1,5,6,6,6,6,8,8,10,12,12,12,12,12,12,12,17,18,19,19,19,23,24,24,24,25,26,28,30,32,33,36,36,36,37,39,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,3,4,4,4
Baldwin,Alabama,30.72774991,-87.72207058,"Baldwin, Alabama, US",223234,1,1,2,2,2,3,5,5,6,6,18,19,22,23,26,29,31,34,39,43,47,54,63,64,70,75,82,93,100,104,106,110,116,120,126,134,143,148,155,161,167,172,174,180,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Barbour,Alabama,31.868263,-85.3871286,"Barbour, Alabama, US",24686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,8,9,10,10,10,11,13,14,15,18,20,22,28,29,31,33,34,34,35,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bibb,Alabama,32.99642064,-87.1251146,"Bibb, Alabama, US",22394,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,4,7,7,8,9,11,11,13,16,17,18,19,23,23,26,26,30,30,32,32,33,34,37,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blount,Alabama,33.98210918,-86.56790593,"Blount, Alabama, US",57826,0,0,0,0,0,0,0,3,4,6,6,7,7,7,7,9,11,12,13,13,13,13,15,15,15,17,18,19,21,22,22,24,25,27,31,33,35,36,36,38,38,38,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullock,Alabama,32.10030533,-85.71265535,"Bullock, Alabama, US",10101,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,6,8,8,8,8,9,9,11,11,11,12,12,12,12,12,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,Alabama,31.75300095,-86.68057478,"Butler, Alabama, US",19448,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,6,7,8,8,11,11,13,14,15,15,15,17,19,21,28,32,34,48,53,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Calhoun,Alabama,33.77483727,-85.82630386,"Calhoun, Alabama, US",113605,1,1,1,1,1,2,2,2,2,4,4,4,9,10,11,12,22,23,26,40,51,54,56,56,59,63,64,65,66,68,68,71,78,82,85,87,89,89,90,91,91,94,95,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Chambers,Alabama,32.91360079,-85.39072749,"Chambers, Alabama, US",33254,0,1,1,1,2,2,6,9,13,15,22,29,39,40,51,75,87,91,94,102,112,145,170,178,189,206,215,219,229,234,239,242,247,257,259,266,273,277,279,281,284,286,288,292,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,6,6,7,8,8,8,8,8,8,8,10,10,11,11,11,13,13,16,16,16,17,17,18,18,19,19,21
Cherokee,Alabama,34.17805983,-85.60638968,"Cherokee, Alabama, US",26196,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,5,5,5,5,7,7,7,7,9,9,9,10,11,11,12,12,13,14,14,14,14,14,15,15,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
