college,prov,cutoff,score0,score1,score2,score3,score4,Lat,Long
安徽财经大学,安徽,599,0,0.1,0.03,92.59,0.6,32.95355,117.383866
安徽大学,安徽,632,0,4.35,2.51,92.92,6.4,31.787806,117.196101
安徽工业大学,安徽,595,0,2.6,2.91,97.18,3.2,31.697162,118.518259
安徽建筑大学,安徽,595,0,0.6,0.79,93.73,0,31.859252,117.216005
安徽理工大学,安徽,595,0,0.4,2.05,96.84,0,32.639634,117.017251
安徽农业大学,安徽,595,0,0.75,3.91,96.33,5.3,31.86668,117.264855
安徽师范大学,安徽,595,0,1.85,1.56,93.92,4,31.339712,118.381183
北京大学,北京,707,98,70.1,58.83,98.07,61.5,39.997753,116.316167
北京第二外国语学院,北京,639,0,0,0,98.92,84.7,39.919119,116.570015
北京服装学院,北京,610,0,0,0.53,97.81,1.5,39.980013,116.437137
北京工商大学,北京,621,0,0.5,2.77,99.54,9.7,39.725332,116.173829
北京工业大学,北京,642,4,7.45,18.68,98.45,17.6,39.879702,116.487245
北京航空航天大学,北京,663,12,25.3,99.96,98.65,42.1,40.161051,116.282134
北京化工大学,北京,637,11,12.3,8.4,98.71,13.4,40.221324,116.264829
北京建筑大学,北京,605,0,0.8,12.76,96.89,8.2,39.94059,116.347603
北京交通大学,北京,644,5,11.15,19.33,98.72,50.4,39.957862,116.34985
北京科技大学,北京,642,4,15.9,23.7,95.08,34.3,39.997184,116.367295
北京理工大学,北京,656,13,18.9,61.08,97.9,30.6,39.966791,116.323202
北京联合大学,北京,595,0,0.55,0.9,98.4,41.2,40.228575,116.255185
北京林业大学,北京,630,4,3.45,2.71,94.67,6.2,40.009585,116.351101
北京师范大学,北京,665,17,15.15,6.73,99.31,52.3,39.96724,116.373749
北京石油化工学院,北京,595,0,0.35,1.56,90.31,2.3,39.753932,116.333009
北京体育大学,北京,628,0,0.05,0,98.79,12.9,40.028406,116.324597
北京外国语大学,北京,660,0,0,0,94.71,89.04,39.961456,116.317887
北京物资学院,北京,597,0,0.3,0,98.41,2.4,39.935223,116.646001
北京信息科技大学,北京,596,0,0.55,2.33,99.45,5.8,39.998978,116.429906
北京邮电大学,北京,655,2,12,9.99,99.14,8.6,40.112419,116.379529
北京语言大学,北京,634,0,0,0,96.19,100,40.000342,116.352193
常熟理工学院,江苏,599,0,0.25,0.51,98.45,0,31.642856,120.740955
常州大学,江苏,595,0,2.85,6.58,98.33,5.6,31.690199,119.961781
成都大学,四川,595,1,0.4,1.18,96.97,1.4,30.655993,104.194038
成都理工大学,四川,600,0,1.1,7.57,93.85,0,30.682729,104.145496
成都信息工程大学,四川,595,0,0.45,1.6,91.41,0.1,30.698055,103.81029
大理大学,云南,595,0,0.35,0.44,92.98,80.1,25.60623,100.21329
大连海事大学,辽宁,611,0,3,5.58,96.54,12.8,38.877257,121.538751
大连理工大学,辽宁,641,31,23.9,18.98,94.7,21,38.888455,121.669802
电子科技大学,四川,654,23,23.9,22.72,96.33,19.9,30.761321,103.933113
东北财经大学,辽宁,629,1,1,0,94.41,40.3,38.884036,121.557633
东北大学,辽宁,642,6,11.35,76.27,95.6,19.7,41.770862,123.42601
东北电力大学,吉林,595,0,0.2,4.18,84.92,3.2,43.832311,126.519348
东北林业大学,黑龙江,602,0,1.7,3.69,94.29,9,45.726582,126.644728
东北师范大学,吉林,624,10,5.2,1.3,97.5,15.4,43.867541,125.337976
东北石油大学,黑龙江,559,1,1.1,4.05,89.86,0.4,46.598095,125.15579
东华大学,上海,643,7,8.95,6.18,96.08,37.6,31.2128,121.42016
